participantID,trialNumber,stimulus,sampleOrder,sampleTime,comparisonTime,condition,template
1,1,,right,10000,20000,H,
1,2,,right,10000,20000,H,
1,3,,left,10000,20000,H,
1,4,,right,10000,20000,H,
1,5,,right,10000,20000,H,
1,6,,left,10000,20000,H,
1,7,,left,10000,20000,V,
1,8,,left,10000,20000,V,
1,9,,right,10000,20000,V,
1,10,,left,10000,20000,V,
1,11,,left,10000,20000,V,
1,12,,left,10000,20000,V,
1,13,,left,10000,20000,VH,
1,14,,left,10000,20000,VH,
1,15,,right,10000,20000,VH,
1,16,,left,10000,20000,VH,
1,17,,right,10000,20000,VH,
1,18,,left,10000,20000,VH,
1,19,,left,10000,20000,H,
1,20,,left,10000,20000,H,
1,21,,left,10000,20000,H,
1,22,,right,10000,20000,H,
1,23,,right,10000,20000,H,
1,24,,left,10000,20000,H,
1,25,,right,10000,20000,VH,
1,26,,right,10000,20000,VH,
1,27,,right,10000,20000,VH,
1,28,,left,10000,20000,VH,
1,29,,right,10000,20000,VH,
1,30,,right,10000,20000,VH,
1,31,,right,10000,20000,V,
1,32,,right,10000,20000,V,
1,33,,left,10000,20000,V,
1,34,,right,10000,20000,V,
1,35,,left,10000,20000,V,
1,36,,left,10000,20000,V,
1,37,,left,10000,20000,V,
1,38,,right,10000,20000,V,
1,39,,left,10000,20000,V,
1,40,,right,10000,20000,V,
1,41,,right,10000,20000,V,
1,42,,left,10000,20000,V,
1,43,,right,10000,20000,H,
1,44,,left,10000,20000,H,
1,45,,left,10000,20000,H,
1,46,,right,10000,20000,H,
1,47,,left,10000,20000,H,
1,48,,right,10000,20000,H,
1,49,,right,10000,20000,VH,
1,50,,left,10000,20000,VH,
1,51,,right,10000,20000,VH,
1,52,,left,10000,20000,VH,
1,53,,left,10000,20000,VH,
1,54,,left,10000,20000,VH,
1,55,,right,10000,20000,VH,
1,56,,right,10000,20000,VH,
1,57,,right,10000,20000,VH,
1,58,,left,10000,20000,VH,
1,59,,right,10000,20000,VH,
1,60,,left,10000,20000,VH,
1,61,,right,10000,20000,V,
1,62,,right,10000,20000,V,
1,63,,left,10000,20000,V,
1,64,,right,10000,20000,V,
1,65,,right,10000,20000,V,
1,66,,left,10000,20000,V,
1,67,,left,10000,20000,H,
1,68,,left,10000,20000,H,
1,69,,right,10000,20000,H,
1,70,,right,10000,20000,H,
1,71,,left,10000,20000,H,
1,72,,right,10000,20000,H,
1,73,,left,10000,20000,VH,
1,74,,left,10000,20000,VH,
1,75,,right,10000,20000,VH,
1,76,,left,10000,20000,VH,
1,77,,left,10000,20000,VH,
1,78,,left,10000,20000,VH,
1,79,,left,10000,20000,V,
1,80,,left,10000,20000,V,
1,81,,left,10000,20000,V,
1,82,,right,10000,20000,V,
1,83,,right,10000,20000,V,
1,84,,right,10000,20000,V,
1,85,,left,10000,20000,H,
1,86,,right,10000,20000,H,
1,87,,left,10000,20000,H,
1,88,,right,10000,20000,H,
1,89,,right,10000,20000,H,
1,90,,left,10000,20000,H,
1,91,,right,10000,20000,VH,
1,92,,right,10000,20000,VH,
1,93,,left,10000,20000,VH,
1,94,,right,10000,20000,VH,
1,95,,right,10000,20000,VH,
1,96,,left,10000,20000,VH,
1,97,,right,10000,20000,H,
1,98,,left,10000,20000,H,
1,99,,right,10000,20000,H,
1,100,,left,10000,20000,H,
1,101,,left,10000,20000,H,
1,102,,right,10000,20000,H,
1,103,,right,10000,20000,V,
1,104,,right,10000,20000,V,
1,105,,left,10000,20000,V,
1,106,,left,10000,20000,V,
1,107,,right,10000,20000,V,
1,108,,right,10000,20000,V,
2,1,,left,10000,20000,VH,
2,2,,left,10000,20000,VH,
2,3,,right,10000,20000,VH,
2,4,,left,10000,20000,VH,
2,5,,left,10000,20000,VH,
2,6,,right,10000,20000,VH,
2,7,,left,10000,20000,V,
2,8,,right,10000,20000,V,
2,9,,left,10000,20000,V,
2,10,,right,10000,20000,V,
2,11,,left,10000,20000,V,
2,12,,right,10000,20000,V,
2,13,,right,10000,20000,H,
2,14,,left,10000,20000,H,
2,15,,left,10000,20000,H,
2,16,,right,10000,20000,H,
2,17,,left,10000,20000,H,
2,18,,left,10000,20000,H,
2,19,,left,10000,20000,VH,
2,20,,right,10000,20000,VH,
2,21,,left,10000,20000,VH,
2,22,,left,10000,20000,VH,
2,23,,left,10000,20000,VH,
2,24,,left,10000,20000,VH,
2,25,,left,10000,20000,V,
2,26,,right,10000,20000,V,
2,27,,right,10000,20000,V,
2,28,,left,10000,20000,V,
2,29,,left,10000,20000,V,
2,30,,right,10000,20000,V,
2,31,,right,10000,20000,H,
2,32,,right,10000,20000,H,
2,33,,left,10000,20000,H,
2,34,,right,10000,20000,H,
2,35,,left,10000,20000,H,
2,36,,right,10000,20000,H,
2,37,,right,10000,20000,H,
2,38,,right,10000,20000,H,
2,39,,left,10000,20000,H,
2,40,,left,10000,20000,H,
2,41,,right,10000,20000,H,
2,42,,left,10000,20000,H,
2,43,,right,10000,20000,VH,
2,44,,right,10000,20000,VH,
2,45,,right,10000,20000,VH,
2,46,,right,10000,20000,VH,
2,47,,right,10000,20000,VH,
2,48,,right,10000,20000,VH,
2,49,,left,10000,20000,V,
2,50,,right,10000,20000,V,
2,51,,right,10000,20000,V,
2,52,,right,10000,20000,V,
2,53,,right,10000,20000,V,
2,54,,left,10000,20000,V,
2,55,,left,10000,20000,H,
2,56,,left,10000,20000,H,
2,57,,left,10000,20000,H,
2,58,,right,10000,20000,H,
2,59,,left,10000,20000,H,
2,60,,left,10000,20000,H,
2,61,,right,10000,20000,VH,
2,62,,right,10000,20000,VH,
2,63,,right,10000,20000,VH,
2,64,,left,10000,20000,VH,
2,65,,right,10000,20000,VH,
2,66,,right,10000,20000,VH,
